Date,CreateTime,Adjused Sentiment,Symbol
3/28/2017,14:13:11,0.976665655,AAPL
3/28/2017,14:13:11,0.860102279,TSLA
3/28/2017,14:13:20,0.87708203,TSLA
3/28/2017,14:13:20,0.9052385,TSLA
3/28/2017,14:13:26,0.849833607,FB
3/28/2017,14:13:34,0.915768742,TSLA
3/28/2017,14:13:38,-0.966705199,TSLA
3/28/2017,14:13:48,0.85569658,AAPL
3/28/2017,14:13:48,0.980373417,AAPL
3/28/2017,14:14:13,0.995383776,AAPL
3/28/2017,14:14:23,-0.770618119,AAPL
3/28/2017,14:14:25,0.156324116,TSLA
3/28/2017,14:14:50,0.971700637,TSLA
3/28/2017,14:15:15,-0.799281196,TSLA
3/28/2017,14:15:43,-0.068661709,FB
3/28/2017,14:15:56,-0.158458957,TSLA
3/28/2017,14:16:03,0.999828297,FB
3/28/2017,14:16:12,0.833290082,FB
3/28/2017,14:16:32,0.151730032,TSLA
3/28/2017,14:17:08,0.981619102,TSLA
3/28/2017,14:17:13,0.179256834,TSLA
3/28/2017,14:17:38,-0.833742007,FB
3/28/2017,14:18:12,0.814300113,FB
3/28/2017,14:18:13,0.993803279,TSLA
3/28/2017,14:18:19,-0.165823781,TSLA
3/28/2017,14:18:23,0.120989601,TSLA
3/28/2017,14:18:34,-0.865928082,FB
3/28/2017,14:18:42,0.730231831,AAPL
3/28/2017,14:18:54,-0.972049887,TSLA
3/28/2017,14:18:59,0.990388167,AAPL
3/28/2017,14:19:12,0.908346374,TSLA
3/28/2017,14:19:14,0.189156763,AAPL
3/28/2017,14:19:25,0.781852477,FB
3/28/2017,14:19:27,0.940144793,TSLA
3/28/2017,14:19:33,0.718296257,FB
3/28/2017,14:20:16,0.934554408,TSLA
3/28/2017,14:20:27,0.923814715,TSLA
3/28/2017,14:20:41,-0.065717853,TSLA
3/28/2017,14:20:41,0.151730032,TSLA
3/28/2017,14:21:09,0.184815542,FB
3/28/2017,14:21:15,0.798114894,TSLA
3/28/2017,14:21:42,0.934094405,TSLA
