ID,Symbol,Date,CreateTime,Body,Sentiment
81825630,TWTR,2017-05-02,2017-05-02T19:51:15Z,b'$TWTR of course it doesn&#39;t mean anything# but mid 18&#39;s was the jumping point last sept. 22nd',Bullish
81825618,TWTR,2017-05-02,2017-05-02T19:51:12Z,b'$TWTR',None
81825457,TWTR,2017-05-02,2017-05-02T19:50:27Z,b'$TWTR FOMO taking hold at the end of the day here.',None
81825365,TWTR,2017-05-02,2017-05-02T19:49:58Z,b'$TWTR here comes that $18.30 close. Great day',Bullish
81825357,TWTR,2017-05-02,2017-05-02T19:49:56Z,b'Bought to close $TWTR via manual stop at 18.22 for (only) 9\xa2 net. Now have small weekly 18\xb7|\xb718\xbd short strangle.',None
81825159,TWTR,2017-05-02,2017-05-02T19:48:58Z,b'$TWTR market commentary tab.  Very nice# simple.',None
81825105,TWTR,2017-05-02,2017-05-02T19:48:40Z,b'$TWTR Look at that volume!',None
81825075,TWTR,2017-05-02,2017-05-02T19:48:37Z,b'$TWTR Cheddar Live on Twitter!  ESPN laid off 100.  CNBC next?  People are moving to the Twitters of the world.',Bullish
81824881,TWTR,2017-05-02,2017-05-02T19:47:40Z,b'$TWTR come on shorty put a  wick on it ......',None
81824375,TWTR,2017-05-02,2017-05-02T19:45:08Z,b'$TWTR WHAT THE F*CK is thing on the right. It popped up I almost punched my computer screen.',None
81824128,TWTR,2017-05-02,2017-05-02T19:43:42Z,b'$TWTR I&#39;m sorry but WHAT THE F*CK IS THIS THING ON CHEDDAR TALKING RIGHT NOW# NOOOOO! Wow.',None
81823409,TWTR,2017-05-02,2017-05-02T19:39:51Z,b'$TWTR already reading articles about twtr being buyable now. Just make the company better for God&#39;s sake',None
81823008,TWTR,2017-05-02,2017-05-02T19:37:33Z,b'$TWTR downgrade to sell?',None
81822587,TWTR,2017-05-02,2017-05-02T19:35:12Z,b'$TWTR First time watching Cheddar on Twitter right now.  #Quality',Bullish
81822072,TWTR,2017-05-02,2017-05-02T19:32:08Z,b'$TWTR $AAPL HAS 250B in cash and has takes about buying $TWTR before. This could be epic.',Bullish
81821753,TWTR,2017-05-02,2017-05-02T19:30:28Z,b'$TWTR here come the chat rooms# smoke and mirrors all these morons regurgitate what they pay for. Pay no mind!',None
81821674,TWTR,2017-05-02,2017-05-02T19:30:01Z,b'$TWTR short I dare you! Welcome 20s and adulthood',Bullish
81821635,TWTR,2017-05-02,2017-05-02T19:29:53Z,b'$TWTR careful shorting this - safer to buy puts if bearish. 1 more rumor/pr this thing takes off... only a matter of time',Bullish
81821108,TWTR,2017-05-02,2017-05-02T19:27:06Z,b'$AAPL $FB $TWTR Apple ER will affect all of tech.  Let&#39;s go baby.',Bullish
81820895,TWTR,2017-05-02,2017-05-02T19:25:56Z,b'$TWTR POS company# but I&#39;m buying because it&#39;s going up.  Just have to get out before it crashes back down.',Bullish
81820235,TWTR,2017-05-02,2017-05-02T19:22:03Z,b'$TWTR Apple to buy Twitter?????  Hmmmmmm.......',Bullish
81820102,TWTR,2017-05-02,2017-05-02T19:21:16Z,b'$TWTR &quot;... the close goes to the pros...&quot;',Bearish
81819889,TWTR,2017-05-02,2017-05-02T19:20:07Z,b'$TWTR 47.5Mil in Volume Yesterday# 57Mil today...wowza!',None
81819575,TWTR,2017-05-02,2017-05-02T19:18:17Z,b'$TWTR Last time I bought in on a rise I lost 30 percent#DontbeFooled#YouWillLose',Bearish
81819492,TWTR,2017-05-02,2017-05-02T19:17:47Z,b'$TWTR another clown! Lmao said he wanted to short at close# he got ansy# this is what happens',None
81819483,TWTR,2017-05-02,2017-05-02T19:17:43Z,b'$TWTR chart https://www.tradingview.com/x/rU67UpwC/ #BlueHorseshoeLovesAnacottSteel',None
81819472,TWTR,2017-05-02,2017-05-02T19:17:40Z,b'$TWTR  is a M&amp;A target just like $LNKD was targeted by $MSFT and $CRM  the 1 billion dollar question is how much $$$$$$$',Bullish
81819396,TWTR,2017-05-02,2017-05-02T19:17:08Z,b'$TWTR what happened to shorting at the close?',None
81819303,TWTR,2017-05-02,2017-05-02T19:16:39Z,b'$TWTR Might pause here but looking to add on any dip.',Bullish
81819151,TWTR,2017-05-02,2017-05-02T19:15:42Z,b'$TWTR Will climb after hours.',Bullish
81819102,TWTR,2017-05-02,2017-05-02T19:15:26Z,b'$TWTR won&#39;t disparage shorts (I short plenty). Love&#39;em when they bet against me. Committed buyers who on buying don&#39;t sell again. Best kind.',Bullish
81818196,TWTR,2017-05-02,2017-05-02T19:10:03Z,b'$TWTR short covering time',Bullish
81817966,TWTR,2017-05-02,2017-05-02T19:08:37Z,b'$TWTR buy the dip... added18.13 &amp; ridding 20s real real soon. ???',Bullish
81817736,TWTR,2017-05-02,2017-05-02T19:07:18Z,b'$TWTR interestingly# TWTR has traded almost TWICE the shs of AAPL today !',None
81817657,TWTR,2017-05-02,2017-05-02T19:06:45Z,b'$TWTR time#buy now',Bullish
81817163,TWTR,2017-05-02,2017-05-02T19:04:05Z,b'$TWTR This could go up 5x in 2 years. Video is the future.',None
